Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Crip2,-1.29,0.02,,-1.25,0.04,,,,,
Cript,1.06,0.56,,1.55,0.00,,,,,
Crk,1.56,0.00,,1.72,0.00,,,,,
Crlf1,1.09,0.18,,-1.04,0.60,,,,,
Crlf2,-1.12,0.21,,-1.33,0.02,,,,,
Crls1,1.13,0.13,,1.32,0.01,,,,,
Crmp1,1.04,0.45,,1.08,0.14,,,,,
Crtc2,1.35,0.01,,1.19,0.07,,,,,
Cry2,1.22,0.01,,1.28,0.00,,,,,
Cryab,1.05,0.63,,-1.18,0.07,,,,,
Cryga,-1.01,0.98,,-1.26,0.01,,,,,
Crym,-1.10,0.06,,-1.05,0.33,,,,,
Cs,1.27,0.01,,1.35,0.00,,,,,
Csad,1.14,0.08,,1.06,0.38,,,,,
Csdc2,1.10,0.17,,1.05,0.43,,,,,
Csde1,-1.02,0.87,,1.15,0.14,,,,,
Cse1l,1.13,0.18,,1.55,0.00,,,,,
Csf1,1.17,0.10,,1.23,0.03,,,,,
Csf1r,1.25,0.01,,1.14,0.08,,,,,
Csk,-1.02,0.74,,-1.05,0.31,,,,,
Csnk1a1,1.47,0.00,,1.72,0.00,,,,,
Csnk1d,1.14,0.03,,1.19,0.01,,,,,
Csnk1e,1.25,0.01,,1.26,0.01,,,,,
Csnk1g2,1.05,0.40,,-1.06,0.39,,,,,
Csnk2b,-1.10,0.02,,-1.23,0.00,,,,,
Cspg5,1.05,0.44,,1.06,0.31,,,,,
Csrnp1,-1.03,0.68,,-1.02,0.83,,,,,
Csrnp2,1.15,0.05,,1.27,0.00,,,,,
Csrp1,1.02,0.85,,-1.10,0.30,,,,,
Cst3,-1.11,0.04,,-1.33,0.00,,,,,
Cst6,-1.03,0.59,,-1.25,0.01,,,,,
Cstb,-1.03,0.59,,-1.26,0.00,,,,,
Cstf1,1.19,0.01,,1.15,0.04,,,,,
Cstf2,1.33,0.01,,1.55,0.00,,,,,
Cstf2t,1.20,0.05,,1.42,0.00,,,,,
Ctbp1,-1.00,0.96,,1.00,0.90,,,,,
Ctbp2,1.33,0.00,,1.36,0.00,,,,,
Ctc1,1.19,0.05,,1.29,0.01,,,,,
Ctdnep1,1.04,0.42,,-1.06,0.21,,,,,
Ctdsp1,1.12,0.13,,-1.08,0.42,,,,,
Ctgf,1.05,1.00,,1.44,0.15,,,,,
Ctnnb1,1.28,0.01,,1.37,0.00,,,,,
Ctps1,1.19,0.01,,1.26,0.00,,,,,
Ctr9,1.23,0.01,,1.32,0.00,,,,,
Ctsa,1.04,0.37,,-1.03,0.49,,,,,
Ctsb,1.01,0.79,,1.00,0.92,,,,,
Ctsd,-1.02,0.87,,-1.14,0.10,,,,,
Ctsf,1.06,0.31,,1.03,0.56,,,,,
Ctsh,1.04,0.75,,-1.04,0.74,,,,,
Ctsl,1.08,0.26,,1.01,0.87,,,,,
Ctss,-1.13,0.03,,-1.09,0.11,,,,,
Ctsz,-1.00,0.97,,-1.18,0.09,,,,,
Ctu1,1.10,0.15,,1.08,0.22,,,,,
Ctu2,1.15,0.08,,-1.02,0.79,,,,,
Ctxn1,-1.19,0.00,,-1.14,0.02,,,,,
Ctxn2,-1.43,0.04,,-1.40,0.07,,,,,
Cul1,1.21,0.02,,1.39,0.00,,,,,
Cul2,1.19,0.05,,1.50,0.00,,,,,
Cul3,1.30,0.03,,1.74,0.00,,,,,
Cul4a,1.29,0.00,,1.33,0.00,,,,,
Cuta,-1.12,0.02,,-1.30,0.00,,,,,
Cwc15,-1.07,0.37,,-1.18,0.04,,,,,
Cx3cl1,1.09,0.07,,1.12,0.02,,,,,
Cx3cr1,1.68,0.00,,1.39,0.02,,,,,
Cxcl12,1.07,0.41,,1.25,0.02,,,,,
Cxcl14,1.02,0.79,,-1.08,0.21,,,,,
Cxcr1,1.92,0.10,,1.08,0.98,,,,,
Cxcr4,-1.13,0.21,,-1.05,0.63,,,,,
Cxxc1,1.13,0.06,,1.10,0.11,,,,,
Cxxc5,1.04,0.34,,1.00,0.99,,,,,
Cyb561,-1.01,0.98,,-1.03,0.97,,,,,
Cyb561d1,1.08,0.23,,1.13,0.06,,,,,
Cyb561d2,-1.17,0.02,,-1.17,0.03,,,,,
Cyb5a,-1.08,0.21,,-1.15,0.04,,,,,
Cyb5b,1.48,0.00,,1.74,0.00,,,,,
Cyb5d1,2.05,0.00,,1.60,0.03,,,,,
Cyb5r1,1.16,0.01,,1.07,0.16,,,,,
Cyb5r3,1.00,0.95,,-1.09,0.13,,,,,
Cyc1,-1.09,0.01,,-1.13,0.00,,,,,
Cycs,-1.09,0.47,,1.03,0.74,,,,,
Cyfip1,1.34,0.01,,1.46,0.00,,,,,
Cyfip2,1.28,0.00,,1.46,0.00,,,,,
Cygb,-1.05,0.35,,-1.04,0.46,,,,,
Cyhr1,-1.00,0.88,,1.03,0.35,,,,,
Cyp2d4,1.31,0.00,,1.11,0.19,,,,,
Cyp46a1,-1.11,0.04,,-1.04,0.44,,,,,
Cyp51,1.14,0.06,,1.18,0.02,,,,,
Cyth2,1.02,0.65,,-1.06,0.12,,,,,
Cyth3,1.19,0.04,,1.23,0.02,,,,,
Dact2,-1.18,0.06,,-1.05,0.52,,,,,
Dact3,1.02,0.70,,-1.08,0.13,,,,,
Dad1,1.00,0.94,,-1.13,0.01,,,,,
Dag1,1.29,0.00,,1.37,0.00,,,,,
Dagla,1.39,0.01,,1.31,0.02,,,,,
Dalrd3,1.02,0.76,,-1.00,0.97,,,,,
Dancr,-1.02,0.84,,1.16,0.21,,,,,
Dap3,-1.05,0.46,,1.02,0.79,,,,,
Dapk3,1.05,0.31,,-1.08,0.15,,,,,
Daxx,1.22,0.01,,1.18,0.02,,,,,
Dazap1,1.09,0.22,,-1.02,0.74,,,,,
Dazap2,1.06,0.27,,1.02,0.77,,,,,
Dbi,-1.12,0.09,,-1.10,0.14,,,,,
Dbn1,1.14,0.02,,1.11,0.05,,,,,
Dbndd1,-1.08,0.22,,-1.08,0.25,,,,,
Dbndd2,-1.01,0.77,,-1.26,0.00,,,,,
Dbnl,1.14,0.01,,1.10,0.07,,,,,
Dbp,-1.11,0.13,,-1.14,0.06,,,,,
Dcaf11,1.29,0.00,,1.23,0.01,,,,,
Dcaf12,-1.02,0.78,,1.28,0.00,,,,,
Dcaf15,1.12,0.06,,1.07,0.23,,,,,
Dcaf7,1.26,0.00,,1.54,0.00,,,,,
Dcaf8,1.35,0.00,,1.46,0.00,,,,,
Dcakd,1.03,0.63,,-1.07,0.29,,,,,
Dchs1,1.23,0.05,,1.40,0.01,,,,,
Dclk1,1.25,0.03,,1.69,0.00,,,,,
Dclre1b,1.29,0.01,,1.30,0.01,,,,,
Dctn1,1.20,0.03,,1.23,0.01,,,,,
Dctn2,1.07,0.12,,-1.03,0.51,,,,,
Dctn3,-1.14,0.01,,-1.19,0.00,,,,,
Dctn5,1.06,0.20,,1.08,0.12,,,,,
Dctn6,-1.12,0.04,,-1.15,0.01,,,,,
Dctpp1,-1.18,0.06,,-1.29,0.01,,,,,
Dcun1d5,1.04,0.75,,1.23,0.05,,,,,
Dcxr,-1.02,0.78,,-1.25,0.03,,,,,
Dda1,-1.07,0.12,,-1.13,0.01,,,,,
Ddah2,-1.03,0.65,,-1.23,0.01,,,,,
Ddb1,1.19,0.03,,1.30,0.00,,,,,
Ddit3,-1.17,0.02,,-1.16,0.02,,,,,
Ddit4,1.28,0.01,,1.10,0.21,,,,,
Ddn,1.23,0.01,,1.20,0.01,,,,,
Ddost,-1.01,0.78,,-1.02,0.54,,,,,
Ddr1,1.48,0.00,,1.16,0.17,,,,,
Ddrgk1,-1.10,0.04,,-1.22,0.00,,,,,
Ddt,-1.10,0.03,,-1.25,0.00,,,,,
Ddx1,1.15,0.07,,1.29,0.00,,,,,
Ddx17,1.58,0.00,,1.78,0.00,,,,,
Ddx19a,1.18,0.04,,1.25,0.01,,,,,
Ddx20,1.16,0.09,,1.33,0.00,,,,,
Ddx21,1.27,0.01,,1.46,0.00,,,,,
Ddx23,1.17,0.01,,1.16,0.02,,,,,
Ddx24,1.10,0.10,,1.15,0.03,,,,,
Ddx25,1.04,0.57,,1.02,0.71,,,,,
Ddx27,1.13,0.04,,1.06,0.26,,,,,
Ddx28,1.01,0.88,,1.09,0.16,,,,,
Ddx3,1.65,0.00,,2.20,0.00,,,,,
Ddx39b,1.28,0.00,,1.16,0.03,,,,,
Ddx3x,1.44,0.01,,2.11,0.00,,,,,
Ddx41,1.11,0.04,,1.00,0.92,,,,,
Ddx42,1.20,0.02,,1.25,0.01,,,,,
Ddx46,1.39,0.01,,1.57,0.00,,,,,
Ddx47,1.06,0.38,,1.14,0.06,,,,,
Ddx49,1.06,0.31,,-1.10,0.10,,,,,
Ddx5,1.46,0.00,,1.63,0.00,,,,,
Ddx51,1.31,0.00,,1.23,0.01,,,,,
Ddx54,1.25,0.02,,1.17,0.08,,,,,
Ddx56,1.11,0.12,,1.04,0.56,,,,,
Deaf1,1.08,0.19,,-1.00,0.95,,,,,
Dedd,1.16,0.08,,1.18,0.04,,,,,
Def8,1.11,0.09,,1.11,0.11,,,,,
Degs1,1.06,0.40,,1.03,0.63,,,,,
Dek,1.29,0.06,,1.76,0.00,,,,,
Dennd5a,1.42,0.00,,1.37,0.00,,,,,
Dennd6b,1.13,0.07,,1.13,0.08,,,,,
Derl1,1.03,0.66,,1.19,0.01,,,,,
Derl3,1.09,0.45,,-1.02,0.78,,,,,
Desi1,1.31,0.01,,1.21,0.03,,,,,
Dexi,-1.10,0.08,,-1.13,0.03,,,,,
Dffa,1.17,0.03,,1.23,0.01,,,,,
Dgat1,-1.02,0.74,,-1.15,0.01,,,,,
Dgat2,1.03,0.63,,1.01,0.79,,,,,
Dgcr14,1.15,0.06,,1.10,0.16,,,,,
Dgcr6,-1.16,0.01,,-1.27,0.00,,,,,
Dgka,1.53,0.00,,1.36,0.00,,,,,
Dgkq,1.22,0.02,,1.37,0.00,,,,,
Dgkz,1.27,0.01,,1.12,0.18,,,,,
Dhcr24,1.66,0.00,,1.63,0.00,,,,,
Dhcr7,-1.00,0.97,,1.02,0.73,,,,,
Dhdds,1.06,0.25,,1.04,0.44,,,,,
Dhps,-1.08,0.08,,-1.08,0.09,,,,,
Dhrs1,1.22,0.05,,-1.02,1.00,,,,,
Dhrsx,1.16,0.04,,-1.14,0.06,,,,,
Dhx15,1.31,0.03,,1.87,0.00,,,,,
Dhx16,1.29,0.01,,1.32,0.00,,,,,
Dhx30,1.27,0.00,,1.23,0.01,,,,,
Dhx36,1.30,0.02,,1.86,0.00,,,,,
Dhx38,1.31,0.00,,1.31,0.00,,,,,
Dhx57,1.30,0.01,,1.49,0.00,,,,,
Dhx9,1.48,0.01,,2.08,0.00,,,,,
Diablo,-1.05,0.27,,-1.12,0.02,,,,,
Dio2,1.71,0.00,,1.82,0.00,,,,,
Dio3,-1.39,0.01,,1.21,0.16,,,,,
Diras1,1.29,0.01,,1.19,0.05,,,,,
Diras2,1.69,0.00,,1.66,0.00,,,,,
Disp2,1.29,0.01,,1.55,0.00,,,,,
Dkc1,-1.06,0.30,,-1.14,0.04,,,,,
Dkk3,1.23,0.02,,1.22,0.02,,,,,
Dkk4,1.09,0.36,,1.35,0.00,,,,,
Dlat,1.36,0.01,,1.56,0.00,,,,,
Dld,1.21,0.04,,1.49,0.00,,,,,
Dlg3,1.45,0.00,,1.62,0.00,,,,,
Dlg4,1.28,0.00,,1.26,0.00,,,,,
Dlgap3,1.22,0.04,,1.10,0.27,,,,,
Dlgap4,1.33,0.00,,1.37,0.00,,,,,
Dlk2,-1.11,0.11,,-1.10,0.14,,,,,
Dll1,1.12,0.22,,1.20,0.06,,,,,
Dlst,1.07,0.31,,1.16,0.02,,,,,
Dlx1,1.13,0.26,,1.20,0.06,,,,,
Dmap1,-1.04,0.45,,-1.05,0.46,,,,,
Dmtf1,1.27,0.02,,1.62,0.00,,,,,
Dmtn,1.11,0.03,,1.09,0.06,,,,,
Dnaaf2,1.00,0.91,,1.24,0.01,,,,,
Dnaja1,1.06,0.39,,1.24,0.01,,,,,
Dnaja2,1.14,0.09,,1.37,0.00,,,,,
Dnaja3,1.16,0.03,,1.21,0.01,,,,,
Dnaja4,1.14,0.07,,1.12,0.12,,,,,
Dnajb1,-1.10,0.13,,1.15,0.03,,,,,
Dnajb11,1.05,0.47,,1.05,0.39,,,,,
Dnajb12,1.10,0.06,,1.01,0.73,,,,,
Dnajb2,-1.04,0.48,,-1.05,0.38,,,,,
Dnajb3,-1.15,0.02,,-1.19,0.01,,,,,
Dnajb4,1.19,0.10,,1.42,0.00,,,,,
Dnajb5,1.12,0.05,,1.16,0.02,,,,,
Dnajb9,1.03,0.75,,1.44,0.01,,,,,
Dnajc10,1.28,0.01,,1.62,0.00,,,,,
Dnajc11,1.25,0.01,,1.17,0.03,,,,,
Dnajc14,1.10,0.14,,1.20,0.01,,,,,
Dnajc27,1.32,0.00,,1.46,0.00,,,,,
Dnajc28,1.34,0.05,,1.77,0.00,,,,,
Dnajc30,1.27,0.01,,1.33,0.00,,,,,
Dnajc4,-1.02,0.74,,-1.16,0.08,,,,,
Dnajc5,1.71,0.00,,1.85,0.00,,,,,
Dnajc6,1.28,0.01,,1.57,0.00,,,,,
Dnajc7,1.12,0.05,,1.12,0.05,,,,,
Dnajc8,1.00,0.90,,-1.07,0.30,,,,,
Dnajc9,-1.02,0.71,,1.07,0.24,,,,,
Dnal4,-1.04,0.52,,-1.19,0.01,,,,,
Dnase2,-1.06,0.44,,-1.37,0.00,,,,,
Dnlz,-1.25,0.00,,-1.40,0.00,,,,,
Dnm1,1.15,0.06,,1.17,0.03,,,,,
Dnm1l,1.70,0.00,,2.34,0.00,,,,,
Dnpep,-1.01,0.93,,-1.11,0.03,,,,,
Dnph1,-1.10,0.31,,-1.29,0.02,,,,,
Doc2a,-1.05,0.56,,1.13,0.23,,,,,
Doc2b,1.67,0.00,,1.80,0.00,,,,,
Dohh,-1.07,0.24,,-1.16,0.02,,,,,
Dok4,1.09,0.20,,1.20,0.02,,,,,
Dolk,1.05,0.39,,-1.02,0.75,,,,,
Dolpp1,1.07,0.33,,-1.05,0.46,,,,,
Dpagt1,1.14,0.19,,1.13,0.17,,,,,
Dpcd,-1.11,0.05,,-1.15,0.02,,,,,
Dpf1,-1.07,0.20,,1.07,0.21,,,,,
Dpf2,1.08,0.15,,1.04,0.46,,,,,
Dph1,1.29,0.00,,1.12,0.10,,,,,
Dph2,1.27,0.01,,1.12,0.17,,,,,
Dph3,1.04,0.53,,1.02,0.75,,,,,
Dpm1,1.14,0.11,,1.25,0.01,,,,,
Dpm2,-1.08,0.11,,-1.27,0.00,,,,,
Dpm3,-1.11,0.16,,-1.54,0.00,,,,,
Dpp3,1.09,0.11,,1.05,0.32,,,,,
Dpp7,1.09,0.22,,1.00,0.93,,,,,
Dpp8,1.33,0.00,,1.47,0.00,,,,,
Dpp9,1.22,0.02,,1.27,0.01,,,,,
Dpy19l3,1.43,0.00,,1.69,0.00,,,,,
Dpysl2,1.09,0.27,,1.41,0.00,,,,,
Dpysl4,-1.10,0.12,,-1.02,0.74,,,,,
Drap1,-1.10,0.05,,-1.24,0.00,,,,,
Drd1,-1.21,0.28,,1.50,0.08,,,,,
Drd5,-1.03,0.97,,1.39,0.01,,,,,
Drg1,1.02,0.72,,1.09,0.23,,,,,
Dsel,1.10,0.54,,2.17,0.00,,,,,
Dstn,1.04,0.55,,1.18,0.05,,,,,
Dstyk,1.25,0.04,,1.56,0.00,,,,,
Dtx3,1.12,0.05,,1.01,0.80,,,,,
Dtymk,1.00,0.94,,-1.07,0.15,,,,,
Dus1l,1.10,0.07,,-1.10,0.09,,,,,
Dus3l,1.13,0.06,,1.01,0.93,,,,,
Dusp1,1.86,0.00,,1.34,0.01,,,,,
Dusp15,1.26,0.01,,1.20,0.03,,,,,
Dusp18,1.27,0.01,,1.46,0.00,,,,,
Dusp26,-1.06,0.41,,1.08,0.39,,,,,
Dusp3,1.34,0.00,,1.28,0.00,,,,,
Dusp5,1.33,0.01,,1.17,0.11,,,,,
Dusp6,1.16,0.09,,1.27,0.01,,,,,
Dusp7,1.02,0.75,,1.17,0.01,,,,,
Dusp8,1.71,0.00,,1.78,0.00,,,,,
Dusp9,1.06,0.53,,1.10,0.35,,,,,
Dvl1,1.18,0.01,,1.17,0.02,,,,,
Dvl2,1.24,0.00,,1.15,0.04,,,,,
Dvl3,1.72,0.00,,1.69,0.00,,,,,
Dxo,-1.07,0.35,,-1.19,0.02,,,,,
Dync1h1,1.20,0.09,,1.59,0.00,,,,,
Dync1i2,1.13,0.08,,1.25,0.00,,,,,
Dync1li1,1.22,0.01,,1.27,0.00,,,,,
Dync1li2,1.25,0.01,,1.46,0.00,,,,,
Dynll1,-1.08,0.12,,-1.03,0.59,,,,,
Dynll2,1.09,0.09,,1.23,0.00,,,,,
Dynlrb1,-1.15,0.05,,-1.16,0.04,,,,,
Dynlt1,-1.07,0.43,,-1.29,0.01,,,,,
Dynlt3,1.20,0.09,,1.54,0.00,,,,,
Dyrk1b,1.25,0.01,,1.12,0.13,,,,,
Dyrk2,1.11,0.28,,1.50,0.00,,,,,
E2f4,1.09,0.06,,1.02,0.56,,,,,
E2f6,1.04,0.61,,1.11,0.23,,,,,
E4f1,1.27,0.01,,1.15,0.09,,,,,
Eaf1,1.32,0.00,,1.41,0.00,,,,,
Ebp,1.01,0.88,,-1.07,0.53,,,,,
Ece2,1.25,0.00,,1.18,0.01,,,,,
Ech1,-1.02,0.58,,-1.10,0.04,,,,,
Eci2,1.00,1.00,,-1.01,0.86,,,,,
Ecm1,1.32,0.20,,-1.07,0.66,,,,,
Ecsit,1.05,0.29,,-1.10,0.05,,,,,
Edc4,1.26,0.01,,1.35,0.00,,,,,
Edf1,-1.17,0.00,,-1.31,0.00,,,,,
Eef1a1,1.05,0.30,,1.05,0.27,,,,,
Eef1a2,1.11,0.07,,1.04,0.47,,,,,
Eef1b2,-1.13,0.05,,-1.08,0.18,,,,,
Eef1d,-1.14,0.01,,-1.18,0.00,,,,,
Eef1e1,-1.11,0.10,,1.01,0.82,,,,,
Eef1g,-1.07,0.17,,-1.10,0.06,,,,,
Eef2,1.12,0.05,,1.09,0.12,,,,,
Efemp2,1.24,0.07,,-1.05,0.82,,,,,
Efhd2,-1.03,0.71,,1.02,0.75,,,,,
Efnb1,1.12,0.15,,1.13,0.11,,,,,
Efnb3,1.01,0.86,,1.13,0.06,,,,,
Efr3a,1.20,0.08,,1.71,0.00,,,,,
Efs,1.11,0.31,,-1.06,0.72,,,,,
Egfl7,1.11,0.27,,-1.21,0.04,,,,,
Egfl8,-1.10,0.41,,-1.25,0.05,,,,,
Egln2,-1.01,0.86,,1.00,0.93,,,,,
Egr1,1.17,0.02,,1.49,0.00,,,,,
Egr3,1.58,0.01,,1.66,0.00,,,,,
Egr4,1.00,0.98,,-1.01,0.79,,,,,
Ehbp1l1,1.01,0.92,,1.01,0.96,,,,,
Ehd1,1.14,0.02,,1.08,0.13,,,,,
Ehd3,1.26,0.01,,1.30,0.00,,,,,
Ehmt2,1.23,0.01,,1.16,0.04,,,,,
Ei24,1.04,0.50,,1.17,0.02,,,,,
Eid1,-1.01,0.93,,1.09,0.26,,,,,
Eid2b,-1.08,0.34,,1.16,0.07,,,,,
Eif1,-1.06,0.35,,1.12,0.06,,,,,
Eif1a,1.07,0.42,,1.38,0.01,,,,,
Eif1ad,1.03,0.60,,1.01,0.88,,,,,
Eif1ax,1.32,0.02,,1.63,0.00,,,,,
Eif1b,-1.05,0.46,,-1.03,0.59,,,,,
Eif2ak1,1.35,0.00,,1.41,0.00,,,,,
Eif2b1,-1.11,0.10,,-1.07,0.32,,,,,
Eif2b2,-1.04,0.45,,-1.11,0.04,,,,,
Eif2b4,1.01,0.95,,-1.02,0.77,,,,,
Eif2b5,1.16,0.03,,1.26,0.00,,,,,
Eif2s1,1.12,0.21,,1.37,0.00,,,,,
Eif2s2,1.11,0.16,,1.20,0.02,,,,,
Eif2s3,1.23,0.01,,1.39,0.00,,,,,
Eif2s3y,1.14,0.13,,1.42,0.00,,,,,
Eif3a,1.24,0.04,,1.57,0.00,,,,,
Eif3b,1.09,0.08,,1.10,0.07,,,,,
Eif3c,1.20,0.01,,1.26,0.00,,,,,
Eif3d,-1.02,0.60,,-1.03,0.48,,,,,
Eif3f,-1.05,0.30,,-1.17,0.00,,,,,
Eif3g,1.04,0.40,,1.00,0.94,,,,,
Eif3h,1.05,0.43,,1.05,0.42,,,,,
Eif3i,-1.10,0.06,,-1.14,0.02,,,,,
Eif3j,1.26,0.07,,1.94,0.00,,,,,
Eif3k,-1.25,0.00,,-1.49,0.00,,,,,
Eif3l,1.07,0.10,,-1.01,0.79,,,,,
Eif3m,1.11,0.23,,1.31,0.01,,,,,
Eif4a1,1.02,0.54,,-1.01,0.84,,,,,
Eif4a2,1.12,0.14,,1.39,0.00,,,,,
Eif4a3,1.05,0.30,,-1.01,0.83,,,,,
Eif4b,1.21,0.01,,1.32,0.00,,,,,
Eif4e,1.12,0.16,,1.29,0.01,,,,,
Eif4ebp3,1.04,0.78,,1.02,0.86,,,,,
Eif4g2,1.19,0.07,,1.61,0.00,,,,,
Eif4h,1.10,0.04,,1.07,0.10,,,,,
Eif5,1.22,0.07,,1.71,0.00,,,,,
Eif5a,-1.11,0.04,,-1.17,0.00,,,,,
Eif5a2,1.30,0.02,,1.80,0.00,,,,,
Eif6,1.02,0.60,,-1.09,0.07,,,,,
Elac2,1.18,0.02,,1.20,0.01,,,,,
Elavl3,1.52,0.00,,1.65,0.00,,,,,
Elk1,1.16,0.01,,1.22,0.00,,,,,
Elk4,1.52,0.00,,1.67,0.00,,,,,
Elmo2,1.21,0.00,,1.16,0.01,,,,,
Elmod1,1.05,0.49,,1.22,0.04,,,,,
Eloa,1.54,0.00,,1.63,0.00,,,,,
Elob,-1.28,0.00,,-1.45,0.00,,,,,
Eloc,1.02,0.78,,1.21,0.03,,,,,
Elof1,-1.14,0.05,,-1.27,0.00,,,,,
Elovl1,1.23,0.06,,-1.07,0.54,,,,,
Elovl2,1.34,0.01,,1.53,0.00,,,,,
Elp2,1.21,0.01,,1.35,0.00,,,,,
Elp5,-1.03,0.52,,-1.13,0.06,,,,,
Emc1,1.13,0.05,,1.37,0.00,,,,,
Emc10,-1.07,0.10,,-1.10,0.02,,,,,
Emc2,1.13,0.14,,1.33,0.00,,,,,
Emc3,1.08,0.07,,1.07,0.11,,,,,
Emc4,-1.01,0.92,,1.12,0.13,,,,,
Emc6,-1.13,0.04,,-1.09,0.16,,,,,
Emc7,1.04,0.57,,1.30,0.00,,,,,
Emc8,1.02,0.70,,-1.01,0.87,,,,,
Emc9,-1.24,0.01,,-1.26,0.01,,,,,
Emd,-1.03,0.53,,-1.02,0.68,,,,,
Emg1,-1.01,0.88,,-1.02,0.82,,,,,
Emilin1,1.44,0.02,,1.16,0.25,,,,,
Eml2,1.21,0.01,,1.18,0.02,,,,,
Emx2,1.26,0.02,,1.15,0.13,,,,,
Enc1,1.29,0.01,,1.45,0.00,,,,,
Endog,-1.14,0.08,,-1.30,0.00,,,,,
Engase,1.14,0.12,,1.04,0.61,,,,,
Enho,-1.15,0.05,,-1.37,0.00,,,,,
Eno1,-1.12,0.01,,-1.13,0.01,,,,,
Eno2,-1.01,0.89,,1.04,0.36,,,,,
Enoph1,1.03,0.62,,1.02,0.67,,,,,
Enpp2,1.05,0.52,,-3.34,0.28,,,,,
Enpp4,1.44,0.01,,1.61,0.00,,,,,
Enpp5,1.25,0.00,,1.45,0.00,,,,,
Ensa,-1.01,0.86,,-1.04,0.33,,,,,
Entpd2,1.16,0.08,,1.11,0.19,,,,,
Entpd4,1.17,0.01,,1.24,0.00,,,,,
Entpd6,1.01,0.86,,1.04,0.39,,,,,
Eny2,1.16,0.13,,1.52,0.00,,,,,
Epb41l1,1.33,0.00,,1.37,0.00,,,,,
Epdr1,1.11,0.13,,1.18,0.02,,,,,
Epha4,1.51,0.01,,1.77,0.00,,,,,
Ephb6,1.42,0.00,,1.46,0.00,,,,,
Epm2aip1,1.37,0.02,,2.04,0.00,,,,,
Epn1,1.13,0.04,,-1.01,0.88,,,,,
Epn2,1.20,0.01,,1.21,0.01,,,,,
Eral1,-1.12,0.10,,1.10,0.17,,,,,
Ercc1,1.00,0.99,,-1.17,0.04,,,,,
Ercc2,1.23,0.01,,1.17,0.04,,,,,
Ercc3,1.17,0.03,,1.22,0.01,,,,,
Erf,1.15,0.01,,1.12,0.04,,,,,
Ergic3,-1.13,0.04,,-1.25,0.00,,,,,
Erh,-1.12,0.11,,1.10,0.17,,,,,
Erlec1,1.20,0.05,,1.54,0.00,,,,,
Erlin2,1.38,0.03,,1.40,0.02,,,,,
Ermn,1.64,0.01,,1.64,0.01,,,,,
Ermp1,1.36,0.00,,1.65,0.00,,,,,
Erp29,-1.12,0.01,,-1.18,0.00,,,,,
Errfi1,1.84,0.00,,1.46,0.00,,,,,
Esam,1.12,0.19,,-1.03,0.73,,,,,
Esd,1.03,0.72,,1.15,0.07,,,,,
Esrra,-1.07,0.21,,-1.05,0.35,,,,,
Etaa1,1.30,0.08,,2.00,0.00,,,,,
Etf1,1.40,0.00,,1.53,0.00,,,,,
Etfb,-1.01,0.88,,-1.13,0.38,,,,,
Etfdh,1.14,0.09,,1.22,0.01,,,,,
Etnk1,1.41,0.00,,1.83,0.00,,,,,
Ets2,-1.03,0.80,,1.32,0.01,,,,,
Etv5,1.11,0.12,,1.21,0.01,,,,,
Eva1b,-1.03,0.83,,-1.37,0.09,,,,,
Evi2a,1.17,0.07,,-1.01,0.98,,,,,
Ewsr1,1.18,0.01,,1.10,0.08,,,,,
Exd2,1.22,0.01,,1.36,0.00,,,,,
Exo5,1.05,0.69,,1.09,0.37,,,,,
Exoc3,1.21,0.03,,1.28,0.01,,,,,
Exoc8,1.79,0.00,,1.78,0.00,,,,,
Exosc2,1.05,0.33,,1.02,0.65,,,,,
Exosc4,1.08,0.23,,-1.12,0.06,,,,,
Exosc5,-1.06,0.39,,-1.24,0.01,,,,,
Exosc9,1.15,0.07,,1.18,0.03,,,,,
Extl1,1.18,0.01,,1.16,0.01,,,,,
Extl2,1.34,0.00,,1.71,0.00,,,,,
Extl3,1.88,0.00,,1.96,0.00,,,,,
Ezh1,1.25,0.01,,1.29,0.00,,,,,
Ezr,1.22,0.10,,-1.02,0.81,,,,,
F2r,1.27,0.04,,1.50,0.00,,,,,
F3,1.45,0.01,,1.29,0.03,,,,,
F8a1,-1.12,0.01,,-1.05,0.21,,,,,
Faap20,-1.01,0.78,,-1.15,0.08,,,,,
Fabp3,-1.16,0.05,,-1.09,0.25,,,,,
Fabp5,-1.14,0.07,,-1.15,0.06,,,,,
Fabp7,1.14,0.01,,-1.04,0.43,,,,,
Fads1,1.26,0.03,,1.22,0.05,,,,,
Fads3,1.07,0.38,,-1.04,0.67,,,,,
Fads6,1.36,0.01,,1.33,0.01,,,,,
Fahd1,-1.12,0.09,,1.06,0.30,,,,,
Fahd2a,-1.07,0.16,,-1.12,0.03,,,,,
Faim2,1.01,0.85,,-1.02,0.65,,,,,
Fam103a1,1.00,0.96,,1.07,0.39,,,,,
Fam104a,1.05,0.34,,1.09,0.09,,,,,
Fam107a,1.20,0.00,,1.23,0.00,,,,,
Fam110a,-1.10,0.07,,-1.13,0.03,,,,,
Fam110b,1.12,0.04,,1.14,0.02,,,,,
Fam117b,1.30,0.02,,1.61,0.00,,,,,
Fam120a,1.33,0.01,,1.61,0.00,,,,,
Fam120b,1.17,0.04,,1.39,0.00,,,,,
