Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Dpm3,-1.11,0.16,-1.54,0.0
Dpp3,1.09,0.11,1.05,0.32
Dpp7,1.09,0.22,1.0,0.93
Dpp8,1.33,0.0,1.47,0.0
Dpp9,1.22,0.02,1.27,0.01
Dpy19l3,1.43,0.0,1.69,0.0
Dpysl2,1.09,0.27,1.41,0.0
Dpysl4,-1.1,0.12,-1.02,0.74
Drap1,-1.1,0.05,-1.24,0.0
Drd1,-1.21,0.28,1.5,0.08
Drd5,-1.03,0.97,1.39,0.01
Drg1,1.02,0.72,1.09,0.23
Dsel,1.1,0.54,2.17,0.0
Dstn,1.04,0.55,1.18,0.05
Dstyk,1.25,0.04,1.56,0.0
Dtx3,1.12,0.05,1.01,0.8
Dtymk,1.0,0.94,-1.07,0.15
Dus1l,1.1,0.07,-1.1,0.09
Dus3l,1.13,0.06,1.01,0.93
Dusp1,1.86,0.0,1.34,0.01
Dusp15,1.26,0.01,1.2,0.03
Dusp18,1.27,0.01,1.46,0.0
Dusp26,-1.06,0.41,1.08,0.39
Dusp3,1.34,0.0,1.28,0.0
Dusp5,1.33,0.01,1.17,0.11
Dusp6,1.16,0.09,1.27,0.01
Dusp7,1.02,0.75,1.17,0.01
Dusp8,1.71,0.0,1.78,0.0
Dusp9,1.06,0.53,1.1,0.35
Dvl1,1.18,0.01,1.17,0.02
Dvl2,1.24,0.0,1.15,0.04
Dvl3,1.72,0.0,1.69,0.0
Dxo,-1.07,0.35,-1.19,0.02
Dync1h1,1.2,0.09,1.59,0.0
Dync1i2,1.13,0.08,1.25,0.0
Dync1li1,1.22,0.01,1.27,0.0
Dync1li2,1.25,0.01,1.46,0.0
Dynll1,-1.08,0.12,-1.03,0.59
Dynll2,1.09,0.09,1.23,0.0
Dynlrb1,-1.15,0.05,-1.16,0.04
Dynlt1,-1.07,0.43,-1.29,0.01
Dynlt3,1.2,0.09,1.54,0.0
Dyrk1b,1.25,0.01,1.12,0.13
Dyrk2,1.11,0.28,1.5,0.0
E2f4,1.09,0.06,1.02,0.56
E2f6,1.04,0.61,1.11,0.23
E4f1,1.27,0.01,1.15,0.09
Eaf1,1.32,0.0,1.41,0.0
Ebp,1.01,0.88,-1.07,0.53
Ece2,1.25,0.0,1.18,0.01
Ech1,-1.02,0.58,-1.1,0.04
Eci2,1.0,1.0,-1.01,0.86
Ecm1,1.32,0.2,-1.07,0.66
Ecsit,1.05,0.29,-1.1,0.05
Edc4,1.26,0.01,1.35,0.0
Edf1,-1.17,0.0,-1.31,0.0
Eef1a1,1.05,0.3,1.05,0.27
Eef1a2,1.11,0.07,1.04,0.47
Eef1b2,-1.13,0.05,-1.08,0.18
Eef1d,-1.14,0.01,-1.18,0.0
Eef1e1,-1.11,0.1,1.01,0.82
Eef1g,-1.07,0.17,-1.1,0.06
Eef2,1.12,0.05,1.09,0.12
Efemp2,1.24,0.07,-1.05,0.82
Efhd2,-1.03,0.71,1.02,0.75
Efnb1,1.12,0.15,1.13,0.11
Efnb3,1.01,0.86,1.13,0.06
Efr3a,1.2,0.08,1.71,0.0
Efs,1.11,0.31,-1.06,0.72
Egfl7,1.11,0.27,-1.21,0.04
Egfl8,-1.1,0.41,-1.25,0.05
Egln2,-1.01,0.86,1.0,0.93
Egr1,1.17,0.02,1.49,0.0
Egr3,1.58,0.01,1.66,0.0
Egr4,1.0,0.98,-1.01,0.79
Ehbp1l1,1.01,0.92,1.01,0.96
Ehd1,1.14,0.02,1.08,0.13
Ehd3,1.26,0.01,1.3,0.0
Ehmt2,1.23,0.01,1.16,0.04
Ei24,1.04,0.5,1.17,0.02
Eid1,-1.01,0.93,1.09,0.26
Eid2b,-1.08,0.34,1.16,0.07
Eif1,-1.06,0.35,1.12,0.06
Eif1a,1.07,0.42,1.38,0.01
Eif1ad,1.03,0.6,1.01,0.88
Eif1ax,1.32,0.02,1.63,0.0
Eif1b,-1.05,0.46,-1.03,0.59
Eif2ak1,1.35,0.0,1.41,0.0
Eif2b1,-1.11,0.1,-1.07,0.32
Eif2b2,-1.04,0.45,-1.11,0.04
Eif2b4,1.01,0.95,-1.02,0.77
Eif2b5,1.16,0.03,1.26,0.0
Eif2s1,1.12,0.21,1.37,0.0
Eif2s2,1.11,0.16,1.2,0.02
Eif2s3,1.23,0.01,1.39,0.0
Eif2s3y,1.14,0.13,1.42,0.0
Eif3a,1.24,0.04,1.57,0.0
Eif3b,1.09,0.08,1.1,0.07
Eif3c,1.2,0.01,1.26,0.0
Eif3d,-1.02,0.6,-1.03,0.48
Eif3f,-1.05,0.3,-1.17,0.0
Eif3g,1.04,0.4,1.0,0.94
Eif3h,1.05,0.43,1.05,0.42
Eif3i,-1.1,0.06,-1.14,0.02
Eif3j,1.26,0.07,1.94,0.0
Eif3k,-1.25,0.0,-1.49,0.0
Eif3l,1.07,0.1,-1.01,0.79
Eif3m,1.11,0.23,1.31,0.01
Eif4a1,1.02,0.54,-1.01,0.84
Eif4a2,1.12,0.14,1.39,0.0
Eif4a3,1.05,0.3,-1.01,0.83
Eif4b,1.21,0.01,1.32,0.0
Eif4e,1.12,0.16,1.29,0.01
Eif4ebp3,1.04,0.78,1.02,0.86
Eif4g2,1.19,0.07,1.61,0.0
Eif4h,1.1,0.04,1.07,0.1
Eif5,1.22,0.07,1.71,0.0
Eif5a,-1.11,0.04,-1.17,0.0
Eif5a2,1.3,0.02,1.8,0.0
Eif6,1.02,0.6,-1.09,0.07
Elac2,1.18,0.02,1.2,0.01
Elavl3,1.52,0.0,1.65,0.0
Elk1,1.16,0.01,1.22,0.0
Elk4,1.52,0.0,1.67,0.0
Elmo2,1.21,0.0,1.16,0.01
Elmod1,1.05,0.49,1.22,0.04
Eloa,1.54,0.0,1.63,0.0
Elob,-1.28,0.0,-1.45,0.0
Eloc,1.02,0.78,1.21,0.03
Elof1,-1.14,0.05,-1.27,0.0
Elovl1,1.23,0.06,-1.07,0.54
Elovl2,1.34,0.01,1.53,0.0
Elp2,1.21,0.01,1.35,0.0
Elp5,-1.03,0.52,-1.13,0.06
Emc1,1.13,0.05,1.37,0.0
Emc10,-1.07,0.1,-1.1,0.02
Emc2,1.13,0.14,1.33,0.0
Emc3,1.08,0.07,1.07,0.11
Emc4,-1.01,0.92,1.12,0.13
Emc6,-1.13,0.04,-1.09,0.16
Emc7,1.04,0.57,1.3,0.0
Emc8,1.02,0.7,-1.01,0.87
Emc9,-1.24,0.01,-1.26,0.01
Emd,-1.03,0.53,-1.02,0.68
Emg1,-1.01,0.88,-1.02,0.82
Emilin1,1.44,0.02,1.16,0.25
Eml2,1.21,0.01,1.18,0.02
Emx2,1.26,0.02,1.15,0.13
Enc1,1.29,0.01,1.45,0.0
Endog,-1.14,0.08,-1.3,0.0
Engase,1.14,0.12,1.04,0.61
Enho,-1.15,0.05,-1.37,0.0
Eno1,-1.12,0.01,-1.13,0.01
Eno2,-1.01,0.89,1.04,0.36
Enoph1,1.03,0.62,1.02,0.67
Enpp2,1.05,0.52,-3.34,0.28
Enpp4,1.44,0.01,1.61,0.0
Enpp5,1.25,0.0,1.45,0.0
Ensa,-1.01,0.86,-1.04,0.33
Entpd2,1.16,0.08,1.11,0.19
Entpd4,1.17,0.01,1.24,0.0
Entpd6,1.01,0.86,1.04,0.39
Eny2,1.16,0.13,1.52,0.0
Epb41l1,1.33,0.0,1.37,0.0
Epdr1,1.11,0.13,1.18,0.02
Epha4,1.51,0.01,1.77,0.0
Ephb6,1.42,0.0,1.46,0.0
Epm2aip1,1.37,0.02,2.04,0.0
Epn1,1.13,0.04,-1.01,0.88
Epn2,1.2,0.01,1.21,0.01
Eral1,-1.12,0.1,1.1,0.17
Ercc1,1.0,0.99,-1.17,0.04
Ercc2,1.23,0.01,1.17,0.04
Ercc3,1.17,0.03,1.22,0.01
Erf,1.15,0.01,1.12,0.04
Ergic3,-1.13,0.04,-1.25,0.0
Erh,-1.12,0.11,1.1,0.17
Erlec1,1.2,0.05,1.54,0.0
Erlin2,1.38,0.03,1.4,0.02
Ermn,1.64,0.01,1.64,0.01
Ermp1,1.36,0.0,1.65,0.0
Erp29,-1.12,0.01,-1.18,0.0
Errfi1,1.84,0.0,1.46,0.0
Esam,1.12,0.19,-1.03,0.73
Esd,1.03,0.72,1.15,0.07
Esrra,-1.07,0.21,-1.05,0.35
Etaa1,1.3,0.08,2.0,0.0
Etf1,1.4,0.0,1.53,0.0
Etfb,-1.01,0.88,-1.13,0.38
Etfdh,1.14,0.09,1.22,0.01
Etnk1,1.41,0.0,1.83,0.0
Ets2,-1.03,0.8,1.32,0.01
Etv5,1.11,0.12,1.21,0.01
Eva1b,-1.03,0.83,-1.37,0.09
Evi2a,1.17,0.07,-1.01,0.98
Ewsr1,1.18,0.01,1.1,0.08
Exd2,1.22,0.01,1.36,0.0
Exo5,1.05,0.69,1.09,0.37
Exoc3,1.21,0.03,1.28,0.01
Exoc8,1.79,0.0,1.78,0.0
Exosc2,1.05,0.33,1.02,0.65
Exosc4,1.08,0.23,-1.12,0.06
Exosc5,-1.06,0.39,-1.24,0.01
Exosc9,1.15,0.07,1.18,0.03
Extl1,1.18,0.01,1.16,0.01
Extl2,1.34,0.0,1.71,0.0
Extl3,1.88,0.0,1.96,0.0
Ezh1,1.25,0.01,1.29,0.0
Ezr,1.22,0.1,-1.02,0.81
F2r,1.27,0.04,1.5,0.0
F3,1.45,0.01,1.29,0.03
F8a1,-1.12,0.01,-1.05,0.21
Faap20,-1.01,0.78,-1.15,0.08
Fabp3,-1.16,0.05,-1.09,0.25
Fabp5,-1.14,0.07,-1.15,0.06
Fabp7,1.14,0.01,-1.04,0.43
Fads1,1.26,0.03,1.22,0.05
Fads3,1.07,0.38,-1.04,0.67
Fads6,1.36,0.01,1.33,0.01
Fahd1,-1.12,0.09,1.06,0.3
Fahd2a,-1.07,0.16,-1.12,0.03
Faim2,1.01,0.85,-1.02,0.65
Fam103a1,1.0,0.96,1.07,0.39
Fam104a,1.05,0.34,1.09,0.09
Fam107a,1.2,0.0,1.23,0.0
Fam110a,-1.1,0.07,-1.13,0.03
Fam110b,1.12,0.04,1.14,0.02
Fam117b,1.3,0.02,1.61,0.0
Fam120a,1.33,0.01,1.61,0.0
Fam120b,1.17,0.04,1.39,0.0
Fam122a,1.05,0.37,-1.06,0.27
Fam127b,-1.01,0.72,-1.09,0.03
Fam131b,1.17,0.02,1.27,0.0
Fam134a,1.08,0.1,1.02,0.6
Fam134c,1.15,0.06,1.2,0.02
Fam136a,1.09,0.17,1.15,0.04
Fam13b,1.28,0.01,1.55,0.0
Fam160a2,1.34,0.0,1.31,0.0
Fam160b2,1.3,0.01,1.28,0.02
Fam163b,1.26,0.02,1.25,0.02
Fam168b,1.56,0.0,1.69,0.0
Fam173a,-1.2,0.0,-1.3,0.0
Fam174a,-1.22,0.01,-1.21,0.02
Fam181b,1.07,0.56,-1.08,0.44
Fam189b,1.12,0.11,1.05,0.45
Fam192a,-1.0,0.94,-1.11,0.07
Fam193b,1.71,0.0,1.57,0.0
Fam20b,1.24,0.01,1.4,0.0
Fam210a,1.24,0.05,1.75,0.0
Fam210b,1.35,0.02,1.66,0.0
Fam212b,1.19,0.04,1.32,0.0
Fam213a,-1.01,0.82,-1.11,0.06
Fam213b,-1.08,0.18,-1.22,0.0
Fam214b,1.26,0.02,1.24,0.03
Fam216a,-1.0,0.97,-1.01,0.86
Fam217b,1.68,0.0,1.86,0.0
Fam219a,1.47,0.0,1.39,0.0
Fam219b,1.7,0.0,1.38,0.05
Fam220a,1.04,0.51,1.08,0.18
Fam234b,1.19,0.02,1.3,0.0
Fam32a,1.02,0.54,1.02,0.55
Fam3a,1.14,0.05,1.01,0.85
Fam43a,1.39,0.0,1.2,0.05
Fam45a,1.07,0.47,1.34,0.01
Fam50a,-1.05,0.41,-1.12,0.08
Fam57b,1.09,0.11,1.0,0.92
Fam58b,-1.06,0.34,-1.05,0.44
Fam63a,1.15,0.03,1.02,0.66
Fam65a,1.15,0.04,1.31,0.0
Fam69b,-1.07,0.17,-1.09,0.07
Fam76a,1.09,0.23,1.18,0.04
Fam81a,1.23,0.06,1.58,0.0
Fam84a,1.22,0.02,1.37,0.0
Fam89b,-1.08,0.08,-1.11,0.01
Fam8a1,1.14,0.12,1.5,0.0
Fam91a1,1.48,0.0,1.88,0.0
Fam96b,-1.17,0.03,-1.27,0.0
Fam98a,1.17,0.12,1.35,0.01
Fam98c,1.05,0.42,1.07,0.33
Fance,1.08,0.45,-1.05,0.55
Farsa,-1.05,0.31,-1.05,0.34
Fasn,1.21,0.02,1.45,0.0
Fastkd3,1.34,0.02,1.58,0.0
Fau,-1.24,0.02,-1.44,0.0
Fbl,-1.14,0.05,-1.08,0.27
Fbll1,-1.1,0.07,-1.23,0.0
Fbxl14,1.05,0.41,1.25,0.0
Fbxl15,-1.09,0.32,-1.27,0.01
Fbxl16,1.54,0.0,1.55,0.0
Fbxl19,1.2,0.04,1.25,0.01
Fbxl3,1.1,0.23,1.26,0.01
Fbxl5,1.18,0.03,1.23,0.01
Fbxl6,1.12,0.04,-1.08,0.17
Fbxo11,1.36,0.03,1.97,0.0
Fbxo18,1.31,0.01,1.35,0.01
Fbxo2,-1.11,0.04,-1.3,0.0
Fbxo21,1.04,0.37,1.06,0.23
Fbxo22,-1.03,0.71,1.02,0.77
Fbxo25,1.09,0.14,1.18,0.01
Fbxo27,1.05,0.44,-1.05,0.49
Fbxo3,1.29,0.01,1.49,0.0
Fbxo41,1.71,0.0,1.8,0.0
Fbxo44,1.1,0.08,-1.03,0.64
Fbxo6,1.05,0.4,-1.15,0.02
Fbxo7,-1.11,0.05,-1.08,0.12
Fbxo9,1.04,0.38,1.05,0.28
Fbxw11,1.22,0.01,1.31,0.0
Fbxw2,1.01,0.93,1.18,0.12
Fbxw5,1.11,0.07,1.01,0.86
Fbxw9,1.14,0.11,1.02,0.76
Fcer1g,-1.01,0.75,-1.11,0.37
Fcf1,1.05,0.42,1.06,0.29
Fcgrt,1.03,0.94,-1.22,0.25
Fcho1,1.38,0.0,1.22,0.03
Fcrl2,1.77,0.0,-1.01,0.99
Fdft1,1.1,0.12,1.03,0.57
Fdps,-1.09,0.03,-1.07,0.06
Fdx1l,-1.16,0.07,-1.34,0.0
Fem1a,1.36,0.01,1.42,0.01
Fem1b,1.77,0.0,2.27,0.0
Fen1,1.07,0.28,-1.0,0.99
Fermt2,1.24,0.01,1.27,0.01
Fez1,1.07,0.16,-1.01,0.84
Fezf2,-1.05,0.67,1.17,0.09
Fgf11,1.13,0.32,1.43,0.02
Fgf13,1.24,0.08,1.74,0.0
Fgfbp3,1.03,0.78,1.07,0.51
Fgfr1,1.49,0.0,1.26,0.02
Fgfr1op2,1.07,0.3,1.14,0.07
Fgfr3,1.4,0.02,1.37,0.02
Fgfrl1,1.04,0.6,-1.0,1.0
Fh,-1.02,0.64,-1.01,0.85
Fhl1,1.11,0.2,1.3,0.01
Fibin,1.39,0.01,1.15,0.22
Fibp,-1.0,0.93,-1.12,0.01
Ficd,1.36,0.01,1.33,0.01
Fis1,-1.14,0.03,-1.33,0.0
Fitm2,1.13,0.1,1.21,0.02
Fiz1,1.06,0.34,1.1,0.1
Fjx1,1.13,0.1,-1.01,0.95
Fkbp1a,1.06,0.27,1.04,0.44
Fkbp2,-1.06,0.18,-1.17,0.0
Fkbp3,-1.02,0.93,1.13,0.25
Fkbp4,-1.02,0.68,1.06,0.27
Fkbp8,-1.09,0.06,-1.22,0.0
Fkbpl,-1.02,0.82,-1.07,0.34
Fkrp,1.19,0.0,1.1,0.05
Flad1,1.11,0.06,1.03,0.57
Flcn,1.08,0.16,1.1,0.11
Flii,1.21,0.03,1.24,0.02
Flna,1.59,0.01,1.48,0.02
Flot1,-1.08,0.19,-1.16,0.01
Flot2,1.07,0.19,1.12,0.04
Flrt1,1.34,0.02,2.03,0.0
Flrt3,1.42,0.0,1.62,0.0
Fmc1,-1.48,0.0,-1.43,0.0
Fmnl1,1.18,0.03,1.14,0.08
Fmod,1.51,0.47,-1.18,1.0
Fn3k,-1.13,0.07,-1.01,0.81
Fn3krp,1.42,0.0,1.49,0.0
Fndc5,1.37,0.0,1.26,0.01
Fnta,1.01,0.88,1.02,0.76
Fos,-1.08,0.39,1.35,0.0
Fosb,1.02,0.89,1.26,0.02
Foxg1,1.02,0.72,1.24,0.0
Foxj1,-1.1,0.62,-1.76,0.46
Foxj2,1.41,0.0,1.57,0.0
Foxk2,1.16,0.03,1.35,0.0
Foxo4,1.28,0.01,1.16,0.06
Foxq1,-1.0,0.97,1.12,0.19
Frs3,-1.09,0.08,-1.03,0.51
Fscn1,-1.03,0.4,-1.14,0.01
Fsd1,1.19,0.08,1.18,0.07
Fth1,1.02,0.66,-1.18,0.0
Ftl1,-1.04,0.46,-1.27,0.0
Ftsj3,1.2,0.01,1.11,0.07
Fubp1,1.28,0.02,1.4,0.0
Fuca1,-1.06,0.71,-1.23,0.07
Fuca2,1.01,0.89,-1.01,0.91
Fundc2,1.02,0.79,-1.03,0.63
Fuom,-1.18,0.08,-1.43,0.0
Furin,1.18,0.05,1.08,0.29
Fus,1.18,0.03,1.32,0.0
Fut11,1.41,0.01,1.52,0.0
Fuz,-1.05,0.63,-1.34,0.0
Fv1,-1.02,0.6,1.04,0.44
Fxr2,1.1,0.04,1.1,0.04
Fxyd1,-1.16,0.21,-1.62,0.0
Fxyd6,-1.39,0.05,-1.09,0.56
Fxyd7,-1.16,0.11,-1.39,0.0
Fyttd1,1.22,0.08,1.62,0.0
Fzd1,1.03,0.67,1.36,0.0
Fzd10,1.35,0.01,1.1,0.29
Fzd2,1.04,0.7,-1.11,0.57
Fzd4,1.49,0.0,1.71,0.0
Fzd9,1.2,0.03,1.1,0.22
Fzr1,1.12,0.12,1.07,0.29
G0s2,-1.37,0.01,-1.17,0.18
G3bp1,1.28,0.01,1.49,0.0
G3bp2,1.54,0.0,1.72,0.0
G4,-1.07,0.25,-1.05,0.41
G6pc3,-1.04,0.44,-1.05,0.39
G6pd,1.18,0.0,1.14,0.02
Gaa,-1.04,0.78,-1.04,0.76
Gabarap,-1.05,0.25,-1.05,0.25
Gabarapl1,-1.04,0.36,-1.01,0.77
Gabarapl2,-1.12,0.18,-1.08,0.33
Gabbr1,1.2,0.01,1.29,0.0
Gabpb1l,1.4,0.0,1.49,0.0
Gabra1,1.17,0.21,2.01,0.0
Gabra5,1.16,0.11,1.18,0.07
Gabrd,-1.1,0.41,-1.09,0.49
Gad1,1.07,0.34,1.27,0.0
Gadd45a,1.15,0.35,-1.16,0.34
Gadd45b,-1.09,0.18,1.02,0.63
Gadd45g,1.16,0.11,-1.2,0.06
Gadd45gip1,-1.15,0.01,-1.32,0.0
Gak,1.17,0.05,1.3,0.0
Gal3st3,1.1,0.17,1.06,0.4
Gale,-1.06,0.25,-1.12,0.04
Galk1,-1.22,0.01,-1.3,0.0
Galnt11,1.2,0.01,1.26,0.0
Galnt16,1.07,0.25,1.21,0.01
Galnt2,1.2,0.03,1.17,0.05
Galnt9,1.07,0.32,1.1,0.18
Galt,1.09,0.66,-1.14,0.3
Gamt,-1.12,0.02,-1.27,0.0
Ganab,1.14,0.05,1.21,0.01
Gap43,-1.2,0.01,-1.06,0.32
Gapdh,-1.08,0.09,-1.23,0.0
Garem2,1.39,0.03,1.33,0.05
Gars,1.18,0.01,1.16,0.02
Gart,1.19,0.01,1.18,0.02
Gas2l1,1.39,0.01,1.28,0.03
Gas6,1.08,0.34,-1.09,0.46
Gas7,1.35,0.0,1.61,0.0
Gatc,1.04,0.47,1.07,0.18
Gatm,1.13,0.17,1.29,0.01
Gatsl2,1.07,0.29,1.26,0.0
Gba,1.53,0.0,1.48,0.0
Gba2,1.14,0.07,1.21,0.01
Gcc2,1.36,0.01,1.78,0.0
Gcdh,1.18,0.02,1.21,0.01
Gcn1l1,1.29,0.01,1.4,0.0
Gcsh,1.01,0.89,1.0,0.99
Gdap1,1.38,0.01,1.88,0.0
Gdap1l1,1.06,0.29,-1.01,0.8
Gde1,1.21,0.01,1.02,0.73
Gdf1,1.14,0.1,1.05,0.5
Gdf10,1.1,0.19,1.13,0.13
Gdf11,1.3,0.0,1.37,0.0
Gdi1,1.1,0.04,1.18,0.0
Gdi2,1.23,0.03,1.59,0.0
Gemin4,1.09,0.32,1.26,0.01
Gemin6,-1.06,0.55,1.01,0.97
Gemin7,-1.08,0.24,-1.12,0.07
Get4,-1.01,0.91,1.0,0.99
Gfap,1.17,0.04,1.04,0.51
Gfer,-1.12,0.09,-1.03,0.64
Gga1,1.11,0.03,1.03,0.46
Gga3,1.22,0.01,1.27,0.0
Ggct,1.08,0.28,-1.02,0.77
Ggcx,1.26,0.06,1.25,0.07
Ggnbp2,1.21,0.06,1.56,0.0
Ggt7,1.04,0.46,1.0,0.89
Ghdc,-1.06,0.44,-1.12,0.17
Ghitm,1.15,0.05,1.24,0.0
Gid8,1.13,0.01,1.07,0.13
Gigyf1,1.81,0.0,1.82,0.0
Gins2,-1.09,0.16,1.08,0.18
Gipc1,-1.05,0.22,-1.13,0.01
Git1,1.29,0.0,1.17,0.03
Gja1,1.29,0.01,1.54,0.0
Gja4,1.0,0.83,-1.02,0.95
Gjb1,1.09,0.49,-1.21,0.11
Gjb2,1.94,0.1,1.24,0.53
Gjb6,1.27,0.03,1.11,0.28
Gjc2,1.1,0.4,-1.25,0.05
Gjd2,1.43,0.01,1.22,0.07
Gla,1.11,0.16,1.22,0.02
Gli4,1.11,0.26,1.13,0.23
Glmp,-1.04,0.76,-1.15,0.21
Glo1,1.06,0.26,1.04,0.45
Glod4,-1.01,0.94,1.04,0.51
Glrx,1.08,0.37,1.31,0.02
Glrx3,1.05,0.36,1.11,0.07
Glrx5,-1.13,0.02,-1.22,0.0
Gls,1.18,0.04,1.55,0.0
Gls2,1.04,0.45,1.08,0.18
Glt8d1,1.29,0.01,1.39,0.0
Gltp,1.05,0.27,-1.15,0.01
Gltscr2,1.04,0.47,-1.09,0.14
Glud1,1.1,0.17,1.22,0.01
Glul,1.28,0.01,1.3,0.01
Glyctk,1.09,0.48,-1.03,0.86
Glyr1,1.57,0.0,1.67,0.0
Gm2a,1.01,0.81,-1.05,0.63
Gmfb,1.69,0.0,1.98,0.0
Gmppa,1.06,0.35,-1.13,0.05
Gmpr,-1.04,0.47,-1.1,0.08
Gmpr2,1.48,0.0,1.4,0.01
Gna11,1.5,0.01,1.53,0.01
Gna12,1.26,0.01,1.07,0.33
Gnai2,1.04,0.4,-1.03,0.59
Gnao1,1.58,0.0,1.64,0.0
Gnas,-1.04,0.45,-1.05,0.34
Gnaz,1.22,0.03,1.36,0.0
Gnb1,1.29,0.0,1.43,0.0
Gnb2,1.02,0.6,-1.12,0.01
Gnb5,1.13,0.07,1.08,0.24
Gne,1.21,0.06,1.12,0.26
Gng10,-1.11,0.32,-1.21,0.13
Gng13,-1.46,0.0,-1.61,0.0
Gng2,1.23,0.02,1.39,0.0
Gng3,-1.19,0.0,-1.27,0.0
Gng7,1.4,0.0,1.42,0.0
Gnl1,-1.04,0.36,-1.09,0.08
Gnl2,1.14,0.08,1.16,0.04
Gnl3,1.15,0.12,1.34,0.0
Gnl3l,1.7,0.0,1.97,0.0
Gnpat,1.19,0.03,1.26,0.01
Gnpda1,1.07,0.2,1.1,0.09
Gnptg,1.03,0.52,-1.02,0.63
Golga2,1.28,0.0,1.25,0.0
Golga7,1.12,0.16,1.27,0.01
Golga7b,1.33,0.01,1.26,0.03
Golph3,1.1,0.26,1.38,0.0
Gon7,-1.0,0.97,-1.06,0.39
Gopc,1.23,0.03,1.51,0.0
Gorasp1,-1.04,0.46,-1.0,1.0
Gorasp2,1.09,0.15,1.2,0.01
Gosr2,1.18,0.01,1.2,0.01
Got1,-1.0,0.98,1.06,0.32
Got2,1.06,0.19,1.06,0.16
Gpaa1,1.06,0.28,-1.01,0.95
Gpank1,-1.11,0.07,-1.17,0.01
Gpat4,1.35,0.0,1.41,0.0
Gpatch11,1.43,0.01,1.59,0.0
Gpatch4,1.21,0.04,1.03,0.68
Gpc1,1.28,0.02,1.09,0.37
Gpcpd1,1.37,0.01,1.61,0.0
Gpd1,1.49,0.02,1.19,0.2
Gper1,1.37,0.15,1.23,0.23
Gpi,1.01,0.74,-1.01,0.9
Gpkow,1.21,0.02,1.31,0.0
Gpm6a,1.07,0.52,1.45,0.01
Gpm6b,1.36,0.0,1.49,0.0
Gpn1,1.09,0.2,1.08,0.24
Gpn2,-1.06,0.32,-1.12,0.06
Gpn3,-1.01,0.87,1.02,0.68
Gpr107,1.25,0.01,1.29,0.0
Gpr108,1.11,0.13,1.08,0.25
Gpr12,1.17,0.15,1.14,0.21
Gpr135,1.11,0.32,1.17,0.13
Gpr137,-1.07,0.21,-1.08,0.13
Gpr150,1.18,0.03,1.17,0.04
Gpr155,1.27,0.04,1.54,0.0
Gpr162,1.01,0.74,1.01,0.74
Gpr17,2.42,0.0,2.23,0.0
Gpr173,1.26,0.05,1.47,0.0
Gpr22,1.28,0.07,1.82,0.0
Gpr27,1.21,0.16,1.09,0.52
Gpr3,1.06,0.66,1.31,0.03
Gpr37,1.35,0.01,1.17,0.13
Gpr37l1,1.24,0.0,1.07,0.24
Gpr4,1.0,0.84,-1.02,0.96
Gpr45,1.04,0.73,1.38,0.0
Gpr61,1.08,0.3,1.35,0.0
Gpr75,1.23,0.03,1.48,0.0
Gpr83,1.26,0.01,1.36,0.0
Gpr84,-1.04,0.6,-1.04,0.68
Gpr85,1.08,0.35,1.61,0.0
Gpr88,-1.45,0.29,1.19,0.73
Gprasp1,1.27,0.03,1.67,0.0
Gprc5b,1.35,0.0,1.3,0.0
Gps1,1.04,0.32,-1.03,0.44
Gps2,1.21,0.0,1.0,0.94
Gpsm1,1.07,0.3,1.07,0.28
Gpsm3,-1.05,0.54,-1.39,0.04
Gpt,1.09,0.18,1.07,0.31
Gpt2,1.14,0.1,1.32,0.0
Gpx1,-1.15,0.3,-1.59,0.0
Gpx3,-1.13,0.57,-1.32,0.17
Gpx4,-1.2,0.0,-1.4,0.0
Gpx8,1.09,0.48,-1.11,0.34
Gramd1a,1.2,0.02,1.11,0.16
Grasp,1.28,0.02,1.19,0.08
Grb2,1.04,0.43,1.08,0.14
Grcc10,-1.14,0.0,-1.25,0.0
Grhpr,1.06,0.43,-1.23,0.01
Gria2,1.42,0.01,1.98,0.0
Grik5,1.23,0.01,1.16,0.05
Grin1,1.17,0.05,1.2,0.02
Grin2c,1.45,0.0,1.26,0.04
Grina,-1.01,0.81,-1.1,0.04
Gripap1,1.13,0.07,1.19,0.01
Grk2,1.28,0.0,1.26,0.0
Grk6,1.04,0.49,1.11,0.06
Grm2,-1.11,0.48,1.23,0.1
Grn,-1.1,0.12,-1.03,0.67
Grpel1,-1.11,0.04,-1.13,0.02
Grsf1,1.25,0.01,1.4,0.0
Grwd1,1.15,0.07,1.19,0.03
Gsk3a,1.08,0.06,1.03,0.46
Gskip,1.12,0.19,1.35,0.0
Gsn,1.06,0.51,-1.11,0.55
Gspt2,1.13,0.1,1.3,0.0
Gsta1,-1.02,0.7,-1.08,0.24
Gstk1,-1.08,0.3,-1.21,0.03
Gstm1,-1.02,0.6,-1.09,0.11
Gstm4,1.09,0.18,-1.09,0.16
Gstm5,1.08,0.46,-1.09,0.36
Gstm6,1.06,0.47,-1.04,0.52
Gstm7,1.08,0.24,-1.03,0.54
Gsto1,-1.01,0.81,-1.15,0.03
Gstp1,-1.09,0.19,-1.26,0.0
Gstt2,1.14,0.12,-1.01,0.94
Gstt3,1.08,0.12,-1.05,0.33
Gstz1,1.14,0.01,1.12,0.02
